category,geek_rate,classificationtype,minage,avg_rate,family,title,minplayers,playingtime,yearpublished,usersrated,maxplayers,page,itemnumber,bayesaverage,mechanism,num_votes,maxplaytime,type,id,minplaytime
"Wargame,World War II",5.574,wargames,12,6.29,"Block wargames,Columbia Front Series",MedFront,2,180,1994,111,2,1,1,5.57374,"Dice Rolling,Hex-and-Counter,Secret Unit Deployment,Simulation",111,180,boardgameexpansion/boargame,79,180
"Expansion for Base-game,Wargame,World War II",5.609,wargames,12,7.46,"Block wargames,Columbia Front Series,Rivers: Volga",VolgaFront,2,240,1994,64,2,1,2,5.60948,Secret Unit Deployment,64,240,boardgameexpansion/boargame,80,240
"Expansion for Base-game,Fantasy,Transportation",6.073,strategygames,10,7.05,"Elfen Travel,Fairies, Elves and Pixies",Elfengold,2,120,1999,565,6,1,4,6.07263,"Auction/Bidding,Hand Management,Point to Point Movement",565,120,boardgameexpansion/boargame,158,120
"Abstract Strategy,Card Game",6.003,abstracts,10,6.43,Chess Games,Knightmare Chess,2,60,1994,1255,2,1,6,6.00345,Grid Movement,1255,60,boardgameexpansion/boargame,227,60
"Civilization,Expansion for Base-game,Exploration,Nautical,Negotiation",6.99,"strategygames,familygames",10,7.18,Catan,Catan: Seafarers,3,90,1997,12259,4,1,8,6.99043,"Dice Rolling,Hand Management,Memory,Modular Board,Route/Network Building,Trading",12259,90,boardgameexpansion/boargame,325,90
"Card Game,Expansion for Base-game,Farming,Nautical,Negotiation,Pirates",5.627,familygames,12,5.83,Bohnanza,La Isla Bohnitâ,2,90,1998,584,7,1,10,5.6267,"Hand Management,Set Collection,Trading",584,90,boardgameexpansion/boargame,453,90
"Card Game,Expansion for Base-game,Farming,Negotiation",6.182,familygames,12,7.09,Bohnanza,Bohnanza Erweiterungs-Set,3,45,1997,740,7,1,11,6.18194,"Hand Management,Set Collection,Trading",740,45,boardgameexpansion/boargame,467,45
"Expansion for Base-game,Political,Renaissance",6.194,strategygames,12,7.36,El Grande,The El Grande Expansions,2,90,2000,586,5,1,13,6.19437,"Area Control / Area Influence,Auction/Bidding,Hand Management,Simultaneous Action Selection",586,90,boardgameexpansion/boargame,583,90
"Card Game,Expansion for Base-game,Farming,Negotiation",5.791,,12,6.68,"Bohnanza,Lookout Bean Games",High Bohn,3,45,2000,322,5,1,15,5.79093,"Hand Management,Set Collection,Trading",322,45,boardgameexpansion/boargame,913,45
Expansion for Base-game,5.454,,12,4.96,Country: Sweden,Svea Rike: Batalj,2,180,1998,76,5,1,17,5.45415,"Campaign / Battle Card Driven,Co-operative Play,Dice Rolling,Simulation",76,180,boardgameexpansion/boargame,995,180
