avg_rate,geek_rate,id,num_votes,title
8.67,8.488,161936,17649,Pandemic Legacy: Season 1
8.74,8.309,182028,7115,Through the Ages: A New Story of Civilization
8.36,8.222,12333,27237,Twilight Struggle
8.29,8.152,120677,23998,Terra Mystica
8.54,8.148,187645,8444,Star Wars: Rebellion
9.12,8.141,174430,3764,Gloomhaven
8.33,8.079,169786,15478,Scythe
8.38,8.036,167791,8835,Terraforming Mars
8.19,8.028,173346,20697,7 Wonders Duel
8.18,8.008,102794,17017,Caverna: The Cave Farmers
8.11,7.997,84876,25184,The Castles of Burgundy
8.09,7.983,3076,48067,Puerto Rico
8.39,7.964,115746,6397,War of the Ring (Second Edition)
8.06,7.962,31260,48521,Agricola
8.14,7.941,96848,18330,Mage Knight Board Game
8.09,7.926,25613,15376,Through the Ages: A Story of Civilization
8.15,7.925,170216,13758,Blood Rage
8.20,7.896,164153,11188,Star Wars: Imperial Assault
7.94,7.864,2651,42262,Power Grid
8.01,7.857,72125,20384,Eclipse
8.31,7.855,205059,6538,Mansions of Madness: Second Edition
8.38,7.844,209010,4872,Mechs vs. Minions
8.02,7.840,121921,18224,Robinson Crusoe: Adventures on the Cursed Island
8.28,7.834,193738,5223,Great Western Trail
8.42,7.830,205637,5323,Arkham Horror: The Card Game
8.29,7.824,175914,5099,Food Chain Magnate
8.00,7.820,124742,20399,Android: Netrunner
8.01,7.813,28720,10725,Brass: Lancashire
7.93,7.809,35677,18992,Le Havre
8.07,7.804,164928,8593,Orléans
7.90,7.795,178900,30231,Codenames
7.94,7.794,126163,17957,Tzolk'in: The Mayan Calendar
8.04,7.792,146508,10499,T.I.M.E Stories
8.20,7.769,183394,5361,Viticulture Essential Edition
7.98,7.759,124361,10088,Concordia
7.94,7.754,122515,11853,Keyflower
7.84,7.748,68448,52142,7 Wonders
7.99,7.729,171623,9155,The Voyages of Marco Polo
7.86,7.726,18602,21876,Caylus
7.86,7.710,150376,23156,Dead of Winter: A Crossroads Game
7.94,7.710,146021,16424,Eldritch Horror
7.92,7.707,12493,15094,Twilight Imperium (Third Edition)
7.83,7.694,163412,18850,Patchwork
7.86,7.687,62219,12975,Dominant Species
7.85,7.686,132531,14440,Roll for the Galaxy
7.83,7.685,157354,17507,Five Tribes
7.77,7.683,28143,34450,Race for the Galaxy
7.80,7.683,110327,29187,Lords of Waterdeep
8.29,7.680,177736,3879,A Feast for Odin
7.81,7.675,93,18508,El Grande
7.79,7.671,40834,23253,Dominion: Intrigue
7.88,7.665,103885,16924,Star Wars: X-Wing Miniatures Game
7.77,7.640,37111,25520,Battlestar Galactica
8.22,7.635,159675,3554,Fields of Arle
7.70,7.607,36218,56282,Dominion
7.85,7.605,2511,9121,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases
7.83,7.596,144733,9002,Russian Railroads
8.01,7.594,172386,5008,Mombasa
7.72,7.594,42,20230,Tigris & Euphrates
7.81,7.594,102680,9741,Trajan
7.67,7.585,30549,62923,Pandemic
8.07,7.582,194655,4715,Santorini
7.76,7.580,73439,11308,Troyes
7.74,7.573,155426,13323,Castles of Mad King Ludwig
