avg_rate,bayesaverage,category,classificationtype,family,geek_rate,id,maxplayers,maxplaytime,mechanism,minage,minplayers,minplaytime,num_votes,playingtime,title,type,usersrated,yearpublished
8.67,8.49416,"Environmental,Medical","Strategy, Thematic","Campaign Games,Legacy,Pandemic",8.493,161936,4,60,"Action Point Allowance System,Co-operative Play,Hand Management,Point to Point Movement,Set Collection,Trading,Variable Player Powers",13,2,60,18685,60,Pandemic Legacy: Season 1,boardgame,18705,2015
8.72,8.30819,"Card Game,Civilization,Economic",Strategy,Tableau Building,8.309,182028,4,240,"Action Point Allowance System,Auction/Bidding,Card Drafting,Hand Management",14,2,180,7697,240,Through the Ages: A New Story of Civilization,boardgame,7712,2015
8.36,8.21906,"Modern Warfare,Political,Wargame","Strategy, Wargames","Country: Russia,Country: USA",8.219,12333,2,180,"Area Control / Area Influence,Campaign / Battle Card Driven,Dice Rolling,Hand Management,Simultaneous Action Selection",13,2,180,27783,180,Twilight Struggle,boardgame,27794,2005
9.06,8.15925,"Adventure,Economic,Exploration,Fantasy,Fighting,Miniatures","Strategy, Thematic","Campaign Games,Crowdfunding: Kickstarter,Legacy,Solitaire Games",8.162,174430,4,150,"Action / Movement Programming,Campaign / Battle Card Driven,Co-operative Play,Grid Movement,Hand Management,Modular Board,Simultaneous Action Selection,Storytelling,Variable Player Powers",12,1,90,4253,150,Gloomhaven,boardgame,4258,2017
8.52,8.15324,"Dice,Fighting,Movies / TV / Radio theme,Science Fiction,Wargame",Thematic,"Components: Miniatures,Fantasy Flight Big Box,Star Wars",8.154,187645,4,240,"Area Control / Area Influence,Area Movement,Dice Rolling,Hand Management",14,2,180,9111,240,Star Wars: Rebellion,boardgame,9121,2016
8.29,8.15006,"Civilization,Economic,Fantasy,Territory Building",Strategy,"Tableau Building,Terra Mystica",8.150,120677,5,150,"Route/Network Building,Variable Phase Order,Variable Player Powers",12,2,60,24751,150,Terra Mystica,boardgame,24760,2012
8.38,8.09847,"Economic,Environmental,Industry / Manufacturing,Science Fiction,Territory Building",Strategy,"Mars,Solitaire Games,Tableau Building",8.098,167791,5,120,"Card Drafting,Hand Management,Tile Placement,Variable Player Powers",12,1,90,11284,120,Terraforming Mars,boardgame,11316,2016
8.32,8.09238,"Civilization,Economic,Fighting,Science Fiction,Territory Building",Strategy,"Alternate History,Components: Miniatures,Crowdfunding: Kickstarter,Scythe,Solitaire Games,Tableau Building",8.092,169786,5,115,"Area Control / Area Influence,Grid Movement,Variable Player Powers",14,1,90,17533,115,Scythe,boardgame,17581,2016
8.19,8.02439,"Ancient,Card Game,City Building,Civilization",Strategy,"7 Wonders,7 Wonders Duel,Tableau Building",8.024,173346,2,30,"Card Drafting,Set Collection",10,2,30,22173,30,7 Wonders Duel,boardgame,22198,2015
8.17,8.00266,"Animals,Economic,Fantasy,Farming",Strategy,"Animals: Sheep,Harvest Series,Mining,Solitaire Games",8.003,102794,7,210,"Tile Placement,Worker Placement",12,1,30,17528,210,Caverna: The Cave Farmers,boardgame,17537,2013
8.11,7.9973,"Dice,Medieval,Territory Building",Strategy,"Alea Big Box,Country: France,Tableau Building",7.997,84876,4,90,"Dice Rolling,Set Collection,Tile Placement,Variable Phase Order",12,2,30,25926,90,The Castles of Burgundy,boardgame,25944,2011
8.08,7.97704,"City Building,Economic,Farming",Strategy,"Alea Big Box,Colonial Theme,Country: Puerto Rico,Puerto Rico,Tableau Building",7.977,3076,5,150,Variable Phase Order,12,2,90,48684,150,Puerto Rico,boardgame,48695,2002
8.39,7.96618,"Adventure,Dice,Fantasy,Miniatures,Novel-based,Territory Building","Thematic, Wargames","Monsters,Tolkien Games,War of the Ring",7.966,115746,4,180,"Area Control / Area Influence,Area Movement,Campaign / Battle Card Driven,Dice Rolling,Hand Management",13,2,150,6623,180,War of the Ring (Second Edition),boardgame,6626,2012
8.05,7.957,"Animals,Economic,Farming",Strategy,"Agricola,Animals: Cattle,Animals: Horses,Animals: Pigs,Animals: Sheep,Harvest Series,Solitaire Games,Tableau Building",7.957,31260,5,150,"Card Drafting,Hand Management,Variable Player Powers,Worker Placement",12,1,30,49164,150,Agricola,boardgame,49171,2007
8.14,7.93827,"Adventure,Exploration,Fantasy,Fighting","Strategy, Thematic","Clix,Components: Miniatures,Mage Knight Universe,Solitaire Games",7.939,96848,4,150,"Card Drafting,Co-operative Play,Deck / Pool Building,Dice Rolling,Grid Movement,Hand Management,Modular Board,Role Playing,Tile Placement,Variable Player Powers",14,1,150,18737,150,Mage Knight Board Game,boardgame,18740,2011
8.14,7.92323,"Fantasy,Fighting,Miniatures,Mythology","Strategy, Thematic","Components: Miniatures,Crowdfunding: Kickstarter,Vikings",7.923,170216,4,90,"Action Point Allowance System,Area Control / Area Influence,Area Movement,Card Drafting,Hand Management,Memory,Simultaneous Action Selection",14,2,60,14798,90,Blood Rage,boardgame,14814,2015
8.08,7.91625,"City Building,Civilization,Economic",Strategy,Tableau Building,7.916,25613,4,240,"Action Point Allowance System,Auction/Bidding,Card Drafting,Hand Management",12,2,240,15495,240,Through the Ages: A Story of Civilization,boardgame,15499,2006
8.29,7.91009,American West,Strategy,Stronghold Games: The Great Designer Series,7.908,193738,4,150,"Deck / Pool Building,Hand Management,Point to Point Movement,Tile Placement",12,2,75,6567,150,Great Western Trail,boardgame,6584,2016
8.19,7.88852,"Adventure,Fighting,Miniatures,Movies / TV / Radio theme,Science Fiction,Wargame",Thematic,"Campaign Games,Fantasy Flight Big Box,Star Wars,Star Wars: Imperial Assault",7.888,164153,5,120,"Dice Rolling,Grid Movement,Modular Board,Partnerships,Role Playing,Variable Player Powers",14,2,60,11645,120,Star Wars: Imperial Assault,boardgame,11656,2014
8.30,7.87422,"Adventure,Exploration,Fantasy,Fighting,Horror,Miniatures,Murder/Mystery,Puzzle",Thematic,"Arkham Horror,Cthulhu Mythos",7.875,205059,5,180,"Area Movement,Co-operative Play,Dice Rolling,Hand Management,Modular Board,Partnerships,Pick-up and Deliver,Role Playing,Variable Player Powers",14,1,120,7288,180,Mansions of Madness: Second Edition,boardgame,7302,2016
8.38,7.86563,"Adventure,Card Game,Collectible Components,Fantasy,Horror,Novel-based","Customizable, Thematic","Arkham Horror,Arkham Horror: The Card Game LCG,Campaign Games,Cthulhu Mythos,Living Card Game,Solitaire Games",7.867,205637,4,120,"Action Point Allowance System,Co-operative Play,Deck / Pool Building,Hand Management,Role Playing,Variable Player Powers",14,1,60,6221,120,Arkham Horror: The Card Game,boardgame,6237,2016
8.35,7.86103,"Fantasy,Fighting,Miniatures,Video Game Theme","Strategy, Thematic","Campaign Games,Components: Miniatures",7.861,209010,4,90,"Action / Movement Programming,Card Drafting,Co-operative Play,Dice Rolling,Modular Board,Variable Player Powers",14,2,60,5670,90,Mechs vs. Minions,boardgame,5681,2016
7.94,7.8578,"Economic,Industry / Manufacturing",Strategy,"Country: Germany,Country: USA,Power Grid",7.858,2651,6,120,"Auction/Bidding,Route/Network Building",12,2,120,42802,120,Power Grid,boardgame,42816,2004
8.01,7.85041,"Civilization,Fighting,Science Fiction,Space Exploration,Wargame",Strategy,"4X games,Eclipse",7.851,72125,6,200,"Area Control / Area Influence,Dice Rolling,Grid Movement,Modular Board,Player Elimination,Tile Placement,Variable Phase Order,Variable Player Powers",14,2,60,20718,200,Eclipse,boardgame,20723,2011
8.01,7.83273,"Adventure,Exploration,Fighting,Novel-based",Thematic,"Robinson Crusoe: Adventure on the Cursed Island,Solitaire Games",7.833,121921,4,180,"Action / Movement Programming,Co-operative Play,Dice Rolling,Modular Board,Simultaneous Action Selection,Storytelling,Tile Placement,Variable Player Powers,Worker Placement",14,1,90,18779,180,Robinson Crusoe: Adventures on the Cursed Island,boardgame,18788,2012
8.28,7.82933,"Economic,Industry / Manufacturing",Strategy,Food / Cooking,7.830,175914,5,240,"Deck / Pool Building,Modular Board,Route/Network Building,Simultaneous Action Selection",14,2,120,5422,240,Food Chain Magnate,boardgame,5428,2015
8.08,7.82002,"Medieval,Religious,Travel",Strategy,"Cities: Orléans (France),Country: France,Crowdfunding: Kickstarter,Orléans",7.820,164928,4,90,"Deck / Pool Building,Point to Point Movement,Worker Placement",12,2,90,9140,90,Orléans,boardgame,9148,2014
8.01,7.81011,"Economic,Industry / Manufacturing,Transportation",Strategy,"Cities: Manchester,Country: England",7.810,28720,4,180,"Hand Management,Route/Network Building",14,2,120,10858,180,Brass: Lancashire,boardgame,10862,2007
7.99,7.80773,"Bluffing,Card Game,Collectible Components,Science Fiction",Customizable,"Android,Android: Netrunner LCG,CCGs (Collectible Card Games),Cyberpunk,Hackers,Living Card Game",7.808,124742,2,45,"Action Point Allowance System,Hand Management,Secret Unit Deployment,Variable Player Powers",14,2,45,20746,45,Android: Netrunner,boardgame,20753,2012
7.93,7.80443,"City Building,Economic,Industry / Manufacturing,Nautical",Strategy,"Country: France,Harvest Series,Le Havre,Solitaire Games",7.804,35677,5,150,Worker Placement,12,1,30,19309,150,Le Havre,boardgame,19315,2008
8.18,7.79264,"Economic,Farming",Strategy,"Solitaire Games,Viticulture,Wine Games",7.793,183394,6,90,"Hand Management,Variable Phase Order,Worker Placement",13,1,90,6154,90,Viticulture Essential Edition,boardgame,6164,2015
7.94,7.79285,"Ancient,Civilization,Economic,Farming,Mythology",Strategy,"Country: Guatemala,Country: Mexico,Tropical theme",7.793,126163,4,90,"Set Collection,Worker Placement",13,2,90,18380,90,Tzolk'in: The Mayan Calendar,boardgame,18386,2012
7.88,7.78031,"Card Game,Deduction,Party Game,Spies/Secret Agents,Word Game",Party,Codenames,7.780,178900,8,15,"Memory,Partnerships,Pattern Recognition,Press Your Luck",14,2,15,31762,15,Codenames,boardgame,31785,2015
8.02,7.77165,"Adventure,Mature / Adult,Medieval,Science Fiction",Thematic,"T.I.M.E Stories,Time Travel",7.771,146508,4,90,"Co-operative Play,Dice Rolling,Role Playing,Storytelling,Time Track,Variable Player Powers,Voting",12,2,90,11182,90,T.I.M.E Stories,boardgame,11196,2015
7.98,7.76782,"Ancient,Economic,Nautical",Strategy,"Ancient Rome,Concordia",7.768,124361,5,100,"Card Drafting,Deck / Pool Building,Hand Management,Point to Point Movement",13,2,100,10574,100,Concordia,boardgame,10581,2013
7.93,7.74642,"City Building,Economic,Nautical,Renaissance,Territory Building",Strategy,"Colonial Theme,Crowdfunding: Kickstarter,Key-series,Keyflower,Quined Master Print Edition Series",7.747,122515,6,120,"Auction/Bidding,Memory,Modular Board,Pick-up and Deliver,Route/Network Building,Set Collection,Tile Placement,Worker Placement",12,2,90,12162,120,Keyflower,boardgame,12166,2012
7.83,7.74217,"Ancient,Card Game,City Building,Civilization","Family, Strategy","7 Wonders,Tableau Building",7.742,68448,7,30,"Card Drafting,Hand Management,Set Collection,Simultaneous Action Selection,Variable Player Powers",10,2,30,53288,30,7 Wonders,boardgame,53310,2010
8.26,7.72456,"Economic,Industry / Manufacturing,Medieval,Puzzle",Strategy,"Admin: Better Description Needed!,Polyominoes,Solitaire Games,Vikings",7.724,177736,4,120,"Area Enclosure,Dice Rolling,Pattern Building,Press Your Luck,Tile Placement,Worker Placement",12,1,30,4524,120,A Feast for Odin,boardgame,4533,2016
7.97,7.72332,"Dice,Economic,Medieval,Travel",Strategy,"Animals: Camels,Cities: Beijing,Cities: Hormuz,Cities: Venice",7.723,171623,4,100,"Card Drafting,Dice Rolling,Point to Point Movement,Set Collection,Variable Player Powers,Worker Placement",12,2,40,9520,100,The Voyages of Marco Polo,boardgame,9525,2015
7.86,7.71958,"City Building,Economic,Medieval",Strategy,"Caylus,Country: France,Ystari originals",7.720,18602,5,150,Worker Placement,12,2,60,22068,150,Caylus,boardgame,22075,2005
