avg_rate,bayesaverage,category,classificationtype,family,geek_rate,id,maxplayers,maxplaytime,mechanism,minage,minplayers,minplaytime,num_votes,playingtime,title,type,usersrated,yearpublished
8.67,8.49353,"Environmental,Medical","Strategy, Thematic","Campaign Games,Legacy,Pandemic",8.494,161936,4,60,"Action Point Allowance System,Co-operative Play,Hand Management,Point to Point Movement,Set Collection,Trading,Variable Player Powers",13,2,60,18668,60,Pandemic Legacy: Season 1,boardgame,18668,2015
8.72,8.3085,"Card Game,Civilization,Economic",Strategy,Tableau Building,8.309,182028,4,240,"Action Point Allowance System,Auction/Bidding,Card Drafting,Hand Management",14,2,180,7688,240,Through the Ages: A New Story of Civilization,boardgame,7688,2015
8.36,8.21903,"Modern Warfare,Political,Wargame","Strategy, Wargames","Country: Russia,Country: USA",8.219,12333,2,180,"Area Control / Area Influence,Campaign / Battle Card Driven,Dice Rolling,Hand Management,Simultaneous Action Selection",13,2,180,27776,180,Twilight Struggle,boardgame,27776,2005
9.06,8.16079,"Adventure,Economic,Exploration,Fantasy,Fighting,Miniatures","Strategy, Thematic","Campaign Games,Crowdfunding: Kickstarter,Legacy,Solitaire Games",8.161,174430,4,150,"Action / Movement Programming,Campaign / Battle Card Driven,Co-operative Play,Grid Movement,Hand Management,Modular Board,Simultaneous Action Selection,Storytelling,Variable Player Powers",12,1,90,4246,150,Gloomhaven,boardgame,4246,2017
8.53,8.15391,"Dice,Fighting,Movies / TV / Radio theme,Science Fiction,Wargame",Thematic,"Components: Miniatures,Fantasy Flight Big Box,Star Wars",8.154,187645,4,240,"Area Control / Area Influence,Area Movement,Dice Rolling,Hand Management",14,2,180,9098,240,Star Wars: Rebellion,boardgame,9098,2016
8.29,8.1502,"Civilization,Economic,Fantasy,Territory Building",Strategy,"Tableau Building,Terra Mystica",8.150,120677,5,150,"Route/Network Building,Variable Phase Order,Variable Player Powers",12,2,60,24739,150,Terra Mystica,boardgame,24739,2012
8.38,8.09617,"Economic,Environmental,Industry / Manufacturing,Science Fiction,Territory Building",Strategy,"Mars,Solitaire Games,Tableau Building",8.096,167791,5,120,"Card Drafting,Hand Management,Tile Placement,Variable Player Powers",12,1,90,11245,120,Terraforming Mars,boardgame,11245,2016
8.32,8.09149,"Civilization,Economic,Fighting,Science Fiction,Territory Building",Strategy,"Alternate History,Components: Miniatures,Crowdfunding: Kickstarter,Scythe,Solitaire Games,Tableau Building",8.091,169786,5,115,"Area Control / Area Influence,Grid Movement,Variable Player Powers",14,1,90,17491,115,Scythe,boardgame,17491,2016
8.18,8.02366,"Ancient,Card Game,City Building,Civilization",Strategy,"7 Wonders,7 Wonders Duel,Tableau Building",8.024,173346,2,30,"Card Drafting,Set Collection",10,2,30,22149,30,7 Wonders Duel,boardgame,22149,2015
8.17,8.00292,"Animals,Economic,Fantasy,Farming",Strategy,"Animals: Sheep,Harvest Series,Mining,Solitaire Games",8.003,102794,7,210,"Tile Placement,Worker Placement",12,1,30,17523,210,Caverna: The Cave Farmers,boardgame,17523,2013
8.11,7.99674,"Dice,Medieval,Territory Building",Strategy,"Alea Big Box,Country: France,Tableau Building",7.997,84876,4,90,"Dice Rolling,Set Collection,Tile Placement,Variable Phase Order",12,2,30,25919,90,The Castles of Burgundy,boardgame,25919,2011
8.09,7.97702,"City Building,Economic,Farming",Strategy,"Alea Big Box,Colonial Theme,Country: Puerto Rico,Puerto Rico,Tableau Building",7.977,3076,5,150,Variable Phase Order,12,2,90,48663,150,Puerto Rico,boardgame,48663,2002
8.39,7.96609,"Adventure,Dice,Fantasy,Miniatures,Novel-based,Territory Building","Thematic, Wargames","Monsters,Tolkien Games,War of the Ring",7.966,115746,4,180,"Area Control / Area Influence,Area Movement,Campaign / Battle Card Driven,Dice Rolling,Hand Management",13,2,150,6621,180,War of the Ring (Second Edition),boardgame,6621,2012
8.05,7.95688,"Animals,Economic,Farming",Strategy,"Agricola,Animals: Cattle,Animals: Horses,Animals: Pigs,Animals: Sheep,Harvest Series,Solitaire Games,Tableau Building",7.957,31260,5,150,"Card Drafting,Hand Management,Variable Player Powers,Worker Placement",12,1,30,49156,150,Agricola,boardgame,49156,2007
8.14,7.93877,"Adventure,Exploration,Fantasy,Fighting","Strategy, Thematic","Clix,Components: Miniatures,Mage Knight Universe,Solitaire Games",7.939,96848,4,150,"Card Drafting,Co-operative Play,Deck / Pool Building,Dice Rolling,Grid Movement,Hand Management,Modular Board,Role Playing,Tile Placement,Variable Player Powers",14,1,150,18727,150,Mage Knight Board Game,boardgame,18727,2011
8.14,7.92292,"Fantasy,Fighting,Miniatures,Mythology","Strategy, Thematic","Components: Miniatures,Crowdfunding: Kickstarter,Vikings",7.923,170216,4,90,"Action Point Allowance System,Area Control / Area Influence,Area Movement,Card Drafting,Hand Management,Memory,Simultaneous Action Selection",14,2,60,14770,90,Blood Rage,boardgame,14770,2015
8.08,7.91612,"City Building,Civilization,Economic",Strategy,Tableau Building,7.916,25613,4,240,"Action Point Allowance System,Auction/Bidding,Card Drafting,Hand Management",12,2,240,15493,240,Through the Ages: A Story of Civilization,boardgame,15493,2006
8.29,7.90679,American West,Strategy,Stronghold Games: The Great Designer Series,7.907,193738,4,150,"Deck / Pool Building,Hand Management,Point to Point Movement,Tile Placement",12,2,75,6547,150,Great Western Trail,boardgame,6547,2016
8.19,7.88835,"Adventure,Fighting,Miniatures,Movies / TV / Radio theme,Science Fiction,Wargame",Thematic,"Campaign Games,Fantasy Flight Big Box,Star Wars,Star Wars: Imperial Assault",7.888,164153,5,120,"Dice Rolling,Grid Movement,Modular Board,Partnerships,Role Playing,Variable Player Powers",14,2,60,11633,120,Star Wars: Imperial Assault,boardgame,11633,2014
